"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 07 17:21:39 CST 2021","Mon Jun 07 17:21:39 CST 2021","14","saas.saas_interface","saas_test","TestSaasInf","","","test_list[分页第二页]","
        测试分组
        "
"passed","Mon Jun 07 17:21:39 CST 2021","Mon Jun 07 17:21:39 CST 2021","14","saas.saas_interface","saas_test","TestSaasInf","","","test_group","
        测试yapi项目列表
        :param login:
        :return:
        "
"passed","Mon Jun 07 17:21:39 CST 2021","Mon Jun 07 17:21:39 CST 2021","18","saas.saas_interface","saas_test","TestSaasInf","","","test_list[分页第一页]","
        测试分组
        "
